unique_key,created_date,closed_date,agency,complaint_type,descriptor,status,resolution_description,incident_zip,city,borough,latitude,longitude
52049704,2021-10-02T05:39:46Z,2021-10-02T06:07:03Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10025,NEW YORK,MANHATTAN,40.79946159354288,-73.95936318046088
52049715,2021-10-02T05:54:33Z,2021-10-02T06:38:52Z,NYPD,noise - street/sidewalk,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,10014,NEW YORK,MANHATTAN,40.73815365612636,-74.00902490142289
52049716,2021-10-02T05:55:36Z,2021-10-02T07:15:25Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11357,WHITESTONE,QUEENS,40.79847594927038,-73.82086245974345
52049724,2021-10-02T05:24:04Z,2021-10-02T07:35:23Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department issued a summons in response to the complaint.,11372,JACKSON HEIGHTS,QUEENS,40.75149607716873,-73.89314120770383
52049725,2021-10-02T04:38:28Z,2021-10-02T06:28:30Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10455,BRONX,BRONX,40.818741793230835,-73.91599675209956
52049731,2021-10-02T04:44:01Z,NA,DOHMH,other,Smoking Violation,In Progress,NA,10017,NEW YORK,MANHATTAN,40.75405004206811,-73.96852622070752
52049737,2021-10-02T05:41:54Z,2021-10-02T08:26:38Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11105,ASTORIA,QUEENS,40.776308974853315,-73.90965954250491
52049749,2021-10-02T05:27:34Z,2021-10-02T07:48:00Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11368,CORONA,QUEENS,40.753525515710464,-73.86772810538639
52049750,2021-10-02T05:13:54Z,2021-10-02T09:36:52Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department reviewed your complaint and provided additional information below.,11207,BROOKLYN,BROOKLYN,40.67991280470973,-73.88752337520393
52049756,2021-10-02T04:41:11Z,2021-10-02T06:39:18Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10472,BRONX,BRONX,40.8318972349415,-73.85735302461958
52049758,2021-10-02T05:39:37Z,2021-10-02T06:46:09Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10461,BRONX,BRONX,40.847084971236015,-73.82806885525136
52049759,2021-10-02T04:50:29Z,2021-10-02T06:34:02Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10472,BRONX,BRONX,40.831825724948985,-73.85723392905987
52049760,2021-10-02T05:15:30Z,2021-10-02T06:09:27Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10468,NA,BRONX,40.86379932355617,-73.90251970719218
52049761,2021-10-02T05:12:49Z,2021-10-02T06:33:29Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10462,BRONX,BRONX,40.83371913884005,-73.8482895590379
52049762,2021-10-02T04:07:06Z,2021-10-02T06:24:19Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10014,NEW YORK,MANHATTAN,40.73349610808827,-74.00357579054595
52049765,2021-10-02T04:52:11Z,2021-10-02T07:44:00Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11221,BROOKLYN,BROOKLYN,40.68870712179651,-73.92889280339867
52049949,2021-10-02T05:40:17Z,NA,TLC,for hire vehicle complaint,Driver Complaint - Non Passenger,In Progress,NA,11201,BROOKLYN,BROOKLYN,40.69549971784928,-73.98714386636254
52050132,2021-10-02T04:08:27Z,2021-10-02T06:26:56Z,NYPD,blocked driveway,No Access,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10455,BRONX,BRONX,40.81875000105622,-73.91596061284801
52050133,2021-10-02T05:50:33Z,2021-10-02T07:58:08Z,NYPD,blocked driveway,No Access,Closed,The Police Department issued a summons in response to the complaint.,10467,BRONX,BRONX,40.86366393876161,-73.8684345690263
52050151,2021-10-02T04:20:13Z,2021-10-02T06:30:05Z,NYPD,blocked driveway,No Access,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,10457,BRONX,BRONX,40.84938027841376,-73.88630064835249
52050180,2021-10-02T15:02:42Z,NA,DSNY,other,Trash,In Progress,The Department of Sanitation collected the requested items.,11219,BROOKLYN,BROOKLYN,40.62558815632018,-74.00088259562928
52050182,2021-10-02T05:42:04Z,NA,DSNY,other,Recycling - Paper,In Progress,NA,10019,NEW YORK,MANHATTAN,40.76516828613224,-73.9771379912377
52050184,2021-10-02T22:21:29Z,NA,DSNY,other,Trash,In Progress,The Department of Sanitation collected the requested items.,10314,STATEN ISLAND,STATEN ISLAND,40.593967847396364,-74.16102092303575
52050205,2021-10-02T05:30:47Z,2021-10-02T08:46:09Z,NYPD,blocked driveway,No Access,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11220,BROOKLYN,BROOKLYN,40.64056020009181,-74.01337882807917
52050219,2021-10-02T05:31:02Z,2021-10-02T09:12:48Z,NYPD,blocked driveway,No Access,Closed,The Police Department responded to the complaint and took action to fix the condition.,10452,BRONX,BRONX,40.842388151295665,-73.92078458494241
52050261,2021-10-02T04:50:14Z,2021-10-02T05:08:51Z,NYPD,blocked driveway,No Access,Closed,The Police Department issued a summons in response to the complaint.,11229,BROOKLYN,BROOKLYN,40.59555044037873,-73.9528617863051
